Brand,Model,RAM,Memory,Battery Capacity,Item Weight,Price,Screen Size,Sales based on Ratings
Huness,,,256 GB,6800 Milliamp Hours,14.4 ounces,$158.99,6.82 Inches,6
Google,GWKK3,8 GB,128 GB,4385 Milliamp Hours,6.9 ounces,$449.00,6.1 Inches,621
HMD Global Oy,TA-1425,2 GB,64 GB,4000,6.3 ounces,$96.37,6.52 Inches,21
"Shen Zhen Yixun Electronic Technology Co., Ltd",T300,64 MB,16 GB,1500 Milliamp Hours,4 ounces,$89.99,2.4 Inches,122
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
"Shenzhen Juzhengxin Technology Co.,Ltd.",SD28-pink,,,,1.28 pounds,$49.99,,119
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
CAT,S22 Flip,2 GB,16 GB,2000 Milliamp Hours,7.9 ounces,$66.49,2.8 Inches,409
Google,GX7AS,6 GB,128 GB,4410 Milliamp Hours,6.3 ounces,$328.00,6.13 Inches,5354
Ulefone,,16 GB,256 GB,4400 Milliamp Hours,6.5 ounces,$139.99,6.52 Inches,32
Samsung,A10e 32GB A102U,2 GB,32 GB,3000 Milliamp Hours,0.2 Kilograms,,5.83 Inches,2995
GREAT CALL,4053S,16 GB,16 GB,,4.8 ounces,$49.99,5.8,2733
Motorola,TFMTXT2163DCP,3 GB,32 GB,4000,188 Grams,$39.99,6.5 Inches,2366
MOTOROLA INC,SMMTXT2163DCP,3 GB,32 GB,4000 Milliamp Hours,12.8 Ounces,$39.99,6.51 Inches,186
Samsung,SM-G991U1,8 GB,128 GB,4000 Milliamp Hours,169 Grams,,6.2 Inches,3539
Assistive Technology Services,sa911fd,,,,8.4 ounces,$179.77,,72
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
Google,GA03900-US,8 GB,256 GB,4614 Milliamp Hours,207 Grams,$419.99,6.4 Inches,717
Samsung,SM-G998U Samsung Galaxy S21 Ultra 5G,12 GB,128 GB,5000 Milliamp Hours,8.01 Ounces,,6.8 Inches,994
Google,GWKK3,8 GB,128 GB,4385 Milliamp Hours,6.9 ounces,$449.00,6.1 Inches,621
Motorola,PAXD0011US,6 GB,4 GB,5000,189 Grams,$199.99,6.5 Inches,59
UMIDIGI,G1 Plus,,32 GB,5150 Milliamp Hours,14 ounces,$84.99,6.52 Inches,32
Dialn,X65,,65 GB,4500 Milliamp Hours,6.7 ounces,$47.99,6.5 Inches,1
OUKITEL,OUKITEL C35,,24 GB,5150 Milliamp Hours,7 ounces,$189.99,6.56 Inches,33
Motorola,PANX0001US,8 GB,256 GB,5000 Milliamp Hours,200 Grams,$249.99,6.8 Inches,1590
VICSEED,,,,,10.5 ounces,$32.99,,73
HOTWAV,T2202,8 GB,128 GB,6180 Milliamp Hours,1.1 pounds,$139.99,6.8 Inches,118
Lintratek,,,,,6.74 pounds,$229.99,,
Yealink,BH71 OB,,,,0.14 Kilograms,$79.90,,59
,,,,,,"$1,199.99",,
Xgody,,,16 GB,3000 Milliamp Hours,15.1 ounces,$69.99,,19
HMD Global Oy,TA-1430,4 GB,128 GB,5000,6.8 ounces,$129.99,6.52 Inches,44
